,Store,Date,CategoryID,ProductID,Q1,Q2,Q3,Q4,SpecialID
0,1,2019-03-10,1,11XXRP,24924.5,46039.49,41595.55,,P
1,1,2019-06-04,2,12XXRP,50605.27,44682.74,47928.89,,Q
2,1,2019-01-16,3,13XXRP,13740.12,10887.84,11523.47,,
3,1,2019-10-18,4,14XXRP,39954.04,d35351.21,36826.95,,
4,1,2019-04-11,5,15XXRP,32229.38,29620.81,26468.27,,A
5,1,2019-05-30,6,16XXRP,5749.03,9135.87,6060.26,,
6,1,2019-12-01,7,17XXRP,21084.08,18310.31,19985.2,,
7,1,2019-02-22,8,18XXRP,40129.01,37334.83,38717.6,,C
8,1,2019-06-17,9,19XXRP,16930.99,16562.49,15880.85,15175.52,
9,1,2019-03-03,10,110XXRP,30721.5,31494.77,29634.13,27921.96,
10,1,2019-03-12,11,111XXRP,24213.18,21760.75,18706.21,17306.61,
11,1,2019-08-27,12,112XXRP,8449.54,8654.07,9165.98,9015.37,
12,1,2019-04-22,13,113XXRP,41969.29,36476.4,37857.68,37467.32,
13,1,2019-05-06,14,114XXRP,19466.91,18129.02,17491.36,16118.26,
14,1,2019-11-12,16,116XXRP,10217.55,11873.89,13855.54,12881.02,
15,1,2019-08-16,17,117XXRP,13223.76,13403.66,13485.61,10667.06,
16,1,2019-08-13,18,118XXRP,4729.5,19006.5,17623.72,545.02,
17,1,2019-05-20,19,119XXRP,1947.05,1490.79,1722.17,1655.32,
18,1,2019-04-01,20,120XXRP,5034.1,3697.7,4719.89,4007.94,
19,1,2019-11-09,21,121XXRP,8907.63,8735.83,8949.67,8592.42,
20,1,2019-03-17,22,122XXRP,13623.98,14807.95,12290.16,9295.78,
21,1,2019-12-11,23,123XXRP,24146.49,22812.41,21381.85,17798.37,
22,1,2019-08-17,24,124XXRP,8272.9,8050.24,7366.7,5630.82,
23,1,2019-11-12,25,125XXRP,11609.5,13268.75,10271.25,10218.67,
24,1,2019-12-19,26,126XXRP,11737.12,10050.92,10547.6,8541.14,
25,1,2019-10-16,27,127XXRP,2293.0,2339.5,2494.5,1666.75,
26,1,2019-03-28,28,128XXRP,1085.29,1008.36,1012.09,986.07,
27,1,2019-09-13,29,129XXRP,7024.95,7696.61,7966.55,4972.65,
28,1,2019-07-15,30,130XXRP,5491.0,5328.5,5735.0,3614.48,
29,1,2019-02-08,31,131XXRP,3455.92,3228.96,2652.0,2665.75,
30,1,2019-08-13,32,132XXRP,11875.84,14700.59,20275.45,8146.57,
31,1,2019-07-14,33,133XXRP,8589.77,8483.54,7611.35,4814.66,
32,1,2019-11-14,34,134XXRP,14350.83,12852.83,13006.5,12005.0,
33,1,2019-10-17,35,135XXRP,2770.0,2420,2176.0,2029.9,
34,1,2019-01-08,36,136XXRP,120.0,432,595.0,506.0,
35,1,2019-08-28,37,137XXRP,3438.16,3450.68,3203.31,2474.99,
36,1,2019-01-10,38,138XXRP,115564.35,94136.35,98672.59,92755.59,
37,1,2019-03-11,40,140XXRP,66780.63,60828.25,68569.53,64328.29,
38,1,2019-07-14,41,141XXRP,1011.83,924.53,1206.88,885.27,
39,1,2019-06-09,42,142XXRP,8366.71,7284.34,8423.87,7039.85,
40,1,2019-02-14,44,144XXRP,4674.75,4463.33,4401.78,3864.43,
41,1,2019-07-04,45,145XXRP,37.44,34.47,22.94,45.41,
42,1,2019-01-07,46,146XXRP,20837.77,18826.47,22414.94,18099.75,
43,1,2019-08-06,47,147XXRP,70.0,,-863.0,,
44,1,2019-05-31,48,148XXRP,814.0,247,354.0,357.0,
45,1,2019-07-03,49,149XXRP,11501.46,16139.05,16736.17,16245.13,
46,1,2019-09-26,43,193XXRP,64494.87,70202.02,62581.64,57630.02,
47,2,2019-04-14,1,21XXRP,35034.06,60483.7,58221.52,25962.32,
48,2,2019-11-06,2,22XXRP,74661.16,65487.46,70853.58,64963.9,
49,2,2019-02-21,3,23XXRP,16873.2,13821.01,14607.28,15635.95,
50,2,2019-11-06,4,24XXRP,47681.96,44197.95,46131.14,42126.71,
51,2,2019-08-28,5,25XXRP,34025.45,37978.19,31620.12,26394.97,
52,2,2019-03-09,6,26XXRP,7472.24,12491.16,10592.63,8273.51,
53,2,2019-06-01,7,27XXRP,28512.95,29067.99,31003.4,24275.91,
54,2,2019-06-02,8,28XXRP,69634.8,63393.29,66589.27,61875.48,
55,2,2019-01-25,9,29XXRP,24162.08,21365.98,25458.81,24049.15,
56,2,2019-02-01,10,210XXRP,39602.47,37984.44,38889.43,41137.74,
57,2,2019-02-18,11,211XXRP,24800.3,18323.66,19504.74,19397.41,
58,2,2019-11-25,12,212XXRP,6906.2,6507.63,6786.66,7281.54,
59,2,2019-06-21,13,213XXRP,53319.96,47186.1,51947.05,50308.0,
60,2,2019-01-31,14,214XXRP,26425.58,22993.48,25802.77,23585.55,
61,2,2019-03-12,16,216XXRP,9674.86,9987.62,11495.54,12558.37,
62,2,2019-02-15,17,217XXRP,18810.11,16749.96,18650.87,16339.18,
63,2,2019-06-03,18,218XXRP,7277.75,22756.44,18259.4,910.33,
64,2,2019-06-15,19,219XXRP,4891.96,3713.47,4488.64,5016.24,
65,2,2019-10-05,20,220XXRP,7231.65,6521.37,6596.04,6828.44,
66,2,2019-01-21,21,221XXRP,12636.72,11932.84,12645.93,12108.36,
67,2,2019-10-26,22,222XXRP,20565.41,18694.14,16502.25,14974.46,
68,2,2019-05-16,23,223XXRP,31836.69,30285.16,28701.21,24557.74,
69,2,2019-11-21,24,224XXRP,9731.05,11838.72,9620.64,8785.76,
70,2,2019-07-12,25,225XXRP,16827.5,19286,17803.75,13153.25,
71,2,2019-08-21,26,226XXRP,13414.69,12962.49,13654.17,10098.66,
72,2,2019-08-09,27,227XXRP,3184.5,2537.5,2791.0,2389.0,
73,2,2019-03-15,28,228XXRP,1592.41,1400.7,1665.82,1251.45,
74,2,2019-01-13,29,229XXRP,10322.43,10985.98,11228.01,8270.12,
75,2,2019-12-26,30,230XXRP,6916.0,6753,7222.46,5990.5,
76,2,2019-03-16,31,231XXRP,3840.21,3487.96,4092.52,3379.42,
77,2,2019-11-07,32,232XXRP,17212.26,21492.32,28629.44,9541.47,
78,2,2019-07-27,33,233XXRP,8896.08,8911.34,7981.41,7558.56,
79,2,2019-03-20,34,234XXRP,20347.47,19002.81,20258.49,19738.31,
80,2,2019-05-18,35,235XXRP,4216.0,2676,3425.0,3566.01,
81,2,2019-03-16,36,236XXRP,975.5,727.5,1981.5,1709.5,
82,2,2019-02-21,37,237XXRP,4961.19,4888.88,5569.84,5395.5,
83,2,2019-04-10,38,238XXRP,113144.9,100344.36,93181.36,109233.51,
84,2,2019-08-13,39,239XXRP,0.0,,0.78,7.02,
85,2,2019-09-15,40,240XXRP,96799.15,80924.71,89782.95,87027.09,
86,2,2019-04-16,41,241XXRP,1707.77,1890.97,2008.39,1366.83,
